,Title,Views,Date,Likes,Duration,Commments,Link
41,NEW M1 Max MacBook Pro Reaction: The Ports are Back!,"5,364,899 views","Oct 18, 2021","199,473 likes",0:20,"15,201",youtube.com/watch?v=uhIdijSrnVc
42,Apple Watch Series 7 Review: Spot the Differences!,"3,867,932 views","Oct 13, 2021","116,485 likes",0:20,"6,752",youtube.com/watch?v=BsosQkfa2L8
43,Reviewing EVERY iPhone Ever!,"8,502,428 views","Oct 11, 2021","299,491 likes",33:14,"20,112",youtube.com/watch?v=8FpPSMIB4uA
44,Surface Laptop Studio Impressions: Windows 11 With a Twist!,"2,936,460 views","Oct 5, 2021","95,015 likes",0:20,"4,419",youtube.com/watch?v=vBnpGIZK9R0
45,iPhone 13 Pro Review: Better Than You Think!,"7,298,419 views","Oct 1, 2021","193,721 likes",0:20,"12,542",youtube.com/watch?v=TnkdoEZhTbc
46,RED V-RAPTOR Impressions: 8K 120fps!,"1,793,433 views","Sep 29, 2021","76,645 likes",0:20,"4,185",youtube.com/watch?v=gny4B5YOV0s
47,iPhone 13 Review: Lowkey Great!,"5,777,814 views","Sep 27, 2021","181,345 likes",0:20,"10,347",youtube.com/watch?v=g5ymJNLURRI
48,iPad Mini 2021 Review: Pocketable Power!,"4,636,066 views","Sep 22, 2021","149,921 likes",0:20,"9,050",youtube.com/watch?v=T-UhbAcZd3I
49,iPhone 13 Unboxing & Impressions!,"8,218,958 views","Sep 21, 2021","266,936 likes",11:02,"18,177",youtube.com/watch?v=Fop2oskTug8
50,3 Features the iPhone 13 Didn't Add!,"3,196,061 views","Sep 17, 2021","121,072 likes",13:48,"8,856",youtube.com/watch?v=ZvPzY6MsmCs
51,iPhone 13 Event Reaction: Everything New!,"8,045,995 views","Sep 14, 2021","252,338 likes",12:23,"18,368",youtube.com/watch?v=C4sAUc_ZGMY
52,Real Thoughts on Tech Leaks!,"2,219,654 views","Sep 13, 2021","97,693 likes",0:20,"5,046",youtube.com/watch?v=TLQkoZX9Mog
53,Driving 1000 Miles in 3 Cars: Gas vs Electric!,"3,026,165 views","Sep 9, 2021","132,683 likes",0:20,"12,540",youtube.com/watch?v=vXzuFprlyrw
54,Samsung Z Flip 3 Review: The First Big Step!,"4,381,853 views","Aug 26, 2021","126,261 likes",0:20,"7,801",youtube.com/watch?v=1uu9VWBgcBU
55,The Tesla Bot: Explained!,"4,615,295 views","Aug 23, 2021","196,535 likes",15:06,"25,619",youtube.com/watch?v=Wk1oClYJE58
56,Samsung Z Fold 3 Review: Let's Talk Ambition!,"4,025,976 views","Aug 20, 2021","116,007 likes",15:08,"6,817",youtube.com/watch?v=iLLi02P1FN4
57,Google Pixel 5A: Spot the Difference!,"3,018,718 views","Aug 17, 2021","106,318 likes",0:20,"5,645",youtube.com/watch?v=SG3Zz_pfbOE
58,Samsung Galaxy Z Flip 3 Impressions: Design Refresh!,"6,047,900 views","Aug 11, 2021","170,104 likes",0:20,"7,733",youtube.com/watch?v=SvMhWghZ_EE
59,Samsung Galaxy Z Fold 3 Impressions: 3 New Features!,"3,148,059 views","Aug 11, 2021","110,022 likes",0:20,"7,136",youtube.com/watch?v=ek9bmIlDens
60,Pixel 6's Tensor Chip: Let's Talk!,"3,857,245 views","Aug 2, 2021","168,542 likes",10:08,"8,838",youtube.com/watch?v=7hEPj13PUGc
61,The Electric Hummer: Hands-On & Impressions!,"2,550,491 views","Jul 30, 2021","110,304 likes",0:20,"7,389",youtube.com/watch?v=dbAkuiS8PHU
62,Nothing Ear(1) Review: See Through the Hype!,"3,355,495 views","Jul 29, 2021","144,736 likes",0:20,"7,133",youtube.com/watch?v=6E9cdgMvQT0
63,The iPhone 13 Models!,"4,304,699 views","Jul 26, 2021","143,223 likes",0:20,"10,058",youtube.com/watch?v=TranVlEwQqw
64,Tesla Model S PLAID Impressions: Re-Inventing the Wheel!,"10,898,289 views","Jul 22, 2021","279,913 likes",20:41,"18,997",youtube.com/watch?v=DyKQ7qtTJag
65,How Do YouTubers Make Money? (And Other Questions We Have to Answer),"2,664,107 views","Jul 16, 2021","138,668 likes",14:18,"6,764",youtube.com/watch?v=n3XrvrBVg2k
66,iPadOS 15 Review: Dropped Expectations!,"2,845,002 views","Jul 7, 2021","100,828 likes",12:22,"5,388",youtube.com/watch?v=DDpXdljhstg
67,iOS 15 Hands-On: Top 5 New Features!,"8,175,102 views","Jul 2, 2021","241,779 likes",0:20,"9,186",youtube.com/watch?v=O1sZcX-BBSA
68,Sony Xperia 1 III: The Ultimate Enthusiast Phone!,"2,990,964 views","Jul 1, 2021","120,734 likes",13:21,"10,890",youtube.com/watch?v=CghqH21A2Ew
69,Why Everything is an Ultrabook!,"1,946,224 views","Jun 30, 2021","76,787 likes",0:20,"4,914",youtube.com/watch?v=U3JprndeVYU
70,Windows 11 Reactions: It Runs Android Apps! (Kinda),"5,175,136 views","Jun 24, 2021","229,256 likes",0:20,"16,062",youtube.com/watch?v=VaSstf9VJGQ
71,Forgot About Beats by Dre?,"4,924,965 views","Jun 17, 2021","168,763 likes",13:33,"8,364",youtube.com/watch?v=ILHEYblJ7uM
72,Top 5 Android 12 Features: Huge Redesign!,"3,532,871 views","Jun 13, 2021","158,790 likes",0:20,"10,773",youtube.com/watch?v=FITTkh-kf6g
73,"Why iPhone's Features are Always ""Late""","3,998,045 views","Jun 8, 2021","175,163 likes",11:43,"12,983",youtube.com/watch?v=wGKb3oUo8go
74,When Smartphones Copy Each Other!,"1,552,685 views","Jun 2, 2021","72,994 likes",0:20,"3,633",youtube.com/watch?v=ZS-LwWzlKdc
75,Ford F150 Lightning Impressions: Better Than I Thought!,"7,550,870 views","May 27, 2021","285,460 likes",13:34,"30,092",youtube.com/watch?v=J2npVg9ONFo
76,Talking Tech and AI with Google CEO Sundar Pichai!,"3,716,645 views","May 21, 2021","192,476 likes",14:20,"10,060",youtube.com/watch?v=n2RNcPRtAiY
77,iPad Pro M1 Review: The Ultimate Spec Bump!,"6,113,002 views","May 19, 2021","210,169 likes",16:16,"13,550",youtube.com/watch?v=eY9dXcjkVx8
78,M1 iMac Review: Ultra Thin Design Choice!,"5,167,570 views","May 18, 2021","188,960 likes",0:20,"13,028",youtube.com/watch?v=vSAa_ls9grQ
79,What Is Right To Repair?,"3,798,499 views","May 7, 2021","241,195 likes",0:20,"14,043",youtube.com/watch?v=RTbrXiIzUt4
80,Apple vs The Paradox of Choice!,"3,536,026 views","Apr 29, 2021","162,906 likes",15:45,"11,790",youtube.com/watch?v=qNAo0UdYF6g
81,OnePlus Watch Review: They Settled!,"2,964,005 views","Apr 26, 2021","122,097 likes",0:20,"8,241",youtube.com/watch?v=07mIwEa3xbQ
82,The New Purple iPhone 12!,"3,210,339 views","Apr 23, 2021","142,205 likes",0:20,"7,921",youtube.com/watch?v=t7jbT1YhyQU
83,Apple AirTags Unboxing & Demo!,"8,440,312 views","Apr 22, 2021","270,102 likes",0:20,"22,027",youtube.com/watch?v=ehv3zQAa9zM
84,Colored iMacs? Let's Talk About Apple's 4/20 Event!,"4,874,367 views","Apr 20, 2021","184,242 likes",0:20,"22,960",youtube.com/watch?v=vInUoPtg8m0
85,Retro Tech: Smart Homes,"1,109,072 views","Apr 17, 2021","44,185 likes",0:20,"2,680",youtube.com/watch?v=ccnlAVDXd7k&pp=sAQB
86,Retro Tech: Hyperconnectivity,"718,533 views","Apr 16, 2021","31,631 likes",0:20,"2,121",youtube.com/watch?v=MhKiMPiZOdE&pp=sAQB
87,Retro Tech: Robots,"781,734 views","Apr 15, 2021","34,804 likes",0:20,"1,920",youtube.com/watch?v=nLeScEdf550&pp=sAQB
88,Retro Tech: Teleportation,"1,527,047 views","Apr 14, 2021","54,938 likes",0:20,"3,036",youtube.com/watch?v=tEmLMCPK8OE&pp=sAQB
89,,,,,,,youtube.com/watch?v=k_vD2S49INE&pp=sAQB
90,Retro Tech: Flying Cars,"2,369,391 views","Apr 13, 2021","94,901 likes",0:20,"5,443",youtube.com/watch?v=ifI_fwg55k8&pp=sAQB
91,The World's Largest Smartphone Camera!,"3,315,009 views","Apr 12, 2021","118,374 likes",0:20,"8,556",youtube.com/watch?v=R5_v0OdFD0A
92,Top 5 Mercedes EQS Features: Electric Luxury!,"4,300,710 views","Apr 11, 2021","141,750 likes",0:20,"15,159",youtube.com/watch?v=wUqZQTp_gpI
93,The Ultimate Gaming Phone!,"5,581,072 views","Apr 8, 2021","211,017 likes",12:53,"18,775",youtube.com/watch?v=cW1KJf7JKgI
94,Why Did LG Phones Really Die?,"2,614,687 views","Apr 6, 2021","123,103 likes",0:20,"14,318",youtube.com/watch?v=CAmZXCZ-e94
95,The Best Mac I've Ever Reviewed!,"2,185,013 views","Apr 1, 2021","238,628 likes",0:20,"18,687",youtube.com/watch?v=TP4VQTUbypM
96,OnePlus 9 Review: Sneaky Value!,"2,232,335 views","Mar 24, 2021","81,821 likes",0:20,"5,283",youtube.com/watch?v=RY63Nw0w33w
97,OnePlus 9 Pro Review: A Huge Hasselblad Promise!,"4,354,529 views","Mar 23, 2021","141,537 likes",0:20,"10,917",youtube.com/watch?v=8eNNJESKjrE
98,Huawei Mate X2 Impressions: I Was Right!,"2,925,406 views","Mar 18, 2021","123,051 likes",0:20,"7,766",youtube.com/watch?v=fYAUINqHAY4
99,Dope Tech: The Fastest Drone AND Car Yet!,"2,880,902 views","Mar 16, 2021","121,804 likes",0:20,"6,432",youtube.com/watch?v=syiQmaGZFXM
100,The Smartphone With a Microscope Camera?!,"3,521,257 views","Mar 12, 2021","126,040 likes",0:20,"7,950",youtube.com/watch?v=1jmcloqc4yg
101,ROG Phone 5 Ultimate Review: The Most Ridiculous Custom!,"2,725,059 views","Mar 10, 2021","117,693 likes",0:20,"8,544",youtube.com/watch?v=6pf2KJD5qf0
102,What I REALLY Think of the iPhone!,"8,850,904 views","Mar 5, 2021","283,606 likes",0:20,"23,185",youtube.com/watch?v=V7J9aMy_CFk
103,"iPhone 13 ""Confirmed""?! NOPE","2,574,081 views","Feb 26, 2021","116,215 likes",0:20,"6,559",youtube.com/watch?v=di1afyrEKoc
104,Dogecoin: Explained,"3,556,935 views","Feb 15, 2021","148,586 likes",0:20,"17,199",youtube.com/watch?v=qVMdq9pDiuQ
105,How to Upgrade a PlayStation 5!,"1,635,474 views","Feb 12, 2021","76,840 likes",0:20,"3,718",youtube.com/watch?v=Sye31IVjiss
106,Huawei Mate Xs Impressions: The Hottest Foldable!,"2,343,377 views","Feb 5, 2021","103,654 likes",0:20,"4,942",youtube.com/watch?v=9zkFfBVgVtI
107,Galaxy S21 Review: Would You Notice?,"4,347,871 views","Feb 2, 2021","150,289 likes",0:20,"10,051",youtube.com/watch?v=dhAmMXCBIcg
108,2021 Tesla Model S Refresh Reaction!,"6,223,544 views","Jan 28, 2021","224,607 likes",0:20,"13,375",youtube.com/watch?v=DHvkyrey3JE
109,"The Only REAL ""Pro"" Smartphone?!","7,462,676 views","Jan 27, 2021","255,551 likes",0:20,"12,406",youtube.com/watch?v=vLm68qbNjkU
110,The Invisible Selfie Camera!,"3,384,239 views","Jan 25, 2021","137,628 likes",0:20,"10,449",youtube.com/watch?v=MXtbeSbf_xM
111,Samsung Galaxy S21 Ultra Review: Problems Solved!,"5,983,138 views","Jan 21, 2021","187,178 likes",0:20,"12,286",youtube.com/watch?v=tn2AgrwXpNQ
112,Xiaomi Mi 11: The New Normal!,"3,569,929 views","Jan 19, 2021","134,136 likes",0:20,"10,402",youtube.com/watch?v=_fqxMZi7P7U
113,Huge Apple 2021 Rumor Reactions!,"2,917,546 views","Jan 17, 2021","100,749 likes",0:20,"7,475",youtube.com/watch?v=1l0aosZHSDA
114,Samsung Galaxy S21 Ultra Impressions: Redemption Time!,"6,088,627 views","Jan 14, 2021","209,980 likes",0:20,"17,191",youtube.com/watch?v=lvV3jSLYK8A
115,"Samsung Galaxy S21 Impressions: New Year, New Price!","2,322,225 views","Jan 14, 2021","96,163 likes",0:20,"8,520",youtube.com/watch?v=wUBy2W1iKpo
116,What Happened to OnePlus?,"4,549,658 views","Jan 12, 2021","242,215 likes",0:20,"15,740",youtube.com/watch?v=9EOAEWC9hJ4
117,2021 Tech I'm Ready For!,"3,695,679 views","Dec 31, 2020","172,419 likes",0:20,"8,581",youtube.com/watch?v=mx3krJHlUzc
118,Dear Electric Cars!,"3,138,372 views","Dec 28, 2020","176,300 likes",0:20,"18,658",youtube.com/watch?v=pJlA2J92Fw4
119,Giving Away 24 PS5s and XBox Series X!,"2,197,970 views","Dec 25, 2020","203,821 likes",0:20,"98,975",youtube.com/watch?v=Lt-fah4spJY
120,Smartphone Awards 2020!,"6,740,057 views","Dec 23, 2020","294,765 likes",0:20,"19,750",youtube.com/watch?v=e6_t26Q9aVM
121,Some Quick Advice from Barack Obama!,"3,434,575 views","Dec 16, 2020","255,279 likes",0:20,"14,416",youtube.com/watch?v=I49VNQ6lmKk
122,AirPods Max Review: Luxury Listening!,"7,274,236 views","Dec 15, 2020","273,720 likes",0:20,"22,883",youtube.com/watch?v=Gvvo6vUpJRc
123,Outer Folding Phones: It's Time to Stop!,"1,830,581 views","Dec 14, 2020","90,269 likes",0:20,"6,432",youtube.com/watch?v=4oco9pLw13E
124,The iPhone with a Piece of the Moon? The Caviar Story,"2,927,398 views","Dec 11, 2020","146,523 likes",0:20,"8,735",youtube.com/watch?v=zrbACeJ63II
125,AirPods Max Unboxing & Impressions: $550?!,"11,954,658 views","Dec 10, 2020","405,425 likes",0:20,"46,641",youtube.com/watch?v=UdfSrJvqY_E
126,The Portless iPhone 13: Let's Talk!,"6,369,708 views","Dec 7, 2020","230,768 likes",0:20,"44,570",youtube.com/watch?v=Qfmeb2e_kb4
127,The $129 Smartphone?!,"2,574,068 views","Dec 4, 2020","115,249 likes",0:20,"8,645",youtube.com/watch?v=6uS5F1MSzaQ
128,The Blind Smartphone Camera Test 2020!,"2,961,708 views","Premiered Dec 2, 2020","156,637 likes",0:20,"11,589",youtube.com/watch?v=kbeEkwlTeqQ
129,What's in my Tech Bag! [2020],"3,610,051 views","Nov 30, 2020","170,431 likes",0:20,"10,486",youtube.com/watch?v=il9SZU_nsVc
130,The FIRST MKBHD Product: ICONS!,"1,688,877 views","Nov 27, 2020","123,825 likes",0:20,"10,807",youtube.com/watch?v=l4bNwGCx1FA
131,The First Folding Screen Tablet!,"2,774,211 views","Nov 24, 2020","139,726 likes",0:20,"10,200",youtube.com/watch?v=noKpc8fo-R0
132,Apple M1 Mac Review: Time to Recalibrate!,"8,338,978 views","Nov 17, 2020","295,184 likes",0:20,"17,099",youtube.com/watch?v=f4g2nPY-VZc
133,PlayStation 5 Review: Next Gen Gaming!,"6,825,106 views","Nov 14, 2020","232,519 likes",0:20,"14,550",youtube.com/watch?v=MepGo2xmVJw
134,"HomePod Mini Review: Big Sound, Tiny Box!","4,778,147 views","Nov 12, 2020","149,151 likes",0:20,"7,686",youtube.com/watch?v=b7RhbRujjUA
135,Apple M1 Chip: Let's Talk!,"4,150,716 views","Nov 10, 2020","169,406 likes",0:20,"12,145",youtube.com/watch?v=b6g6rDDt9x8
136,iPhone 12 Pro Max Review: The Biggest Ever!,"5,658,373 views","Nov 9, 2020","172,980 likes",0:20,"12,664",youtube.com/watch?v=qrzCLgDplTw
137,iPhone 12 Mini Review: Tiny Tradeoffs!,"4,952,668 views","Nov 9, 2020","156,249 likes",0:20,"7,160",youtube.com/watch?v=Yhze-aRR6o0
138,PlayStation 5 Controller: Major Key!,"3,517,246 views","Oct 31, 2020","162,799 likes",0:20,"10,063",youtube.com/watch?v=imx_-6tHjhw
139,iPhone 12 Pro Review: You Sure About That?,"7,848,930 views","Oct 29, 2020","229,393 likes",0:20,"17,210",youtube.com/watch?v=eWI_BtcDJu0
140,PlayStation 5 Unboxing & Accessories!,"13,652,604 views","Oct 27, 2020","580,105 likes",0:20,"40,834",youtube.com/watch?v=QtMzV73NAgk
141,iPhone 12 Review: Just Got Real!,"12,172,825 views","Oct 25, 2020","309,617 likes",0:20,"21,464",youtube.com/watch?v=X1b3C2081-Q
142,Google Pixel 5 Review: Software Special!,"4,370,016 views","Oct 23, 2020","143,972 likes",0:20,"8,552",youtube.com/watch?v=NBLO6RpofIU
143,Huawei Mate 40 Pro Impressions: Technically Awesome!,"2,745,574 views","Oct 22, 2020","110,634 likes",0:20,"8,160",youtube.com/watch?v=j5zvFXmSGKY
144,iPad Air 2020: The Real iPad Pro Killer!,"6,852,056 views","Oct 21, 2020","205,515 likes",0:20,"11,874",youtube.com/watch?v=nDy32xoXM4o
145,iPhone 12 Unboxing Experience + MagSafe Demo!,"12,546,306 views","Oct 20, 2020","431,428 likes",0:20,"34,317",youtube.com/watch?v=Sx6dAx7dnXg
146,LG Wing: The Swiveling Smartphone!,"4,815,001 views","Oct 16, 2020","171,969 likes",13:02,"13,284",youtube.com/watch?v=t0XN-dJftSU
147,The $200 Smartphone?!,"2,210,864 views","Oct 15, 2020","100,994 likes",0:20,"12,733",youtube.com/watch?v=wjXIw6OjBo8
148,Google Pixel 5 Impressions: A New Strategy?,"3,796,235 views","Oct 14, 2020","133,506 likes",0:20,"8,765",youtube.com/watch?v=stsJe7pJaKU
149,OnePlus 8T Review: The Awkward Middle Child!,"3,207,226 views","Oct 14, 2020","110,855 likes",0:20,"9,789",youtube.com/watch?v=VHt0LqGZVSY
150,Apple iPhone 12 Lineup Reactions!,"6,742,082 views","Oct 13, 2020","230,853 likes",0:20,"26,737",youtube.com/watch?v=k1v7_zScivQ
151,Why Don't People Buy Sony Smartphones?,"6,930,487 views","Oct 5, 2020","294,507 likes",0:20,"34,837",youtube.com/watch?v=j7QwJ-M_GAI
152,Apple Watch Series 6 Review: It's Bait!,"4,377,713 views","Oct 2, 2020","126,796 likes",0:20,"6,073",youtube.com/watch?v=XDamqi_3Aro
153,The Galaxy S20 Fan Edition: Hear Me Out!,"4,869,727 views","Sep 28, 2020","153,485 likes",0:20,"38,704",youtube.com/watch?v=azrdcp4yYas
154,The Ultimate iOS 14 Homescreen Setup Guide!,"11,013,258 views","Sep 24, 2020","297,461 likes",0:20,"13,410",youtube.com/watch?v=cH66LWWluVE
155,Can You Actually Game in 8K? (RTX 3090 Gameplay!),"9,787,930 views","Sep 22, 2020","304,213 likes",0:20,"26,754",youtube.com/watch?v=kFz9afj8lu0
156,Porsche Taycan Turbo: I Almost Switched!  [Auto Focus Ep 6],"3,989,657 views","Sep 21, 2020","150,800 likes",0:20,"14,355",youtube.com/watch?v=BAZX9p2oGOg
157,Xbox Series X/S Design Impressions!,"2,361,759 views","Sep 18, 2020","112,451 likes",0:20,"9,475",youtube.com/watch?v=UFDoLyAE1Bc
158,Apple Watch Series 6: Everything New! (Product RED),"5,294,333 views","Sep 17, 2020","159,837 likes",0:20,"8,917",youtube.com/watch?v=Mm0NvlXdz4A
159,Talking Tech and Holograms with Mark Zuckerberg!,"3,549,480 views","Sep 16, 2020","195,656 likes",0:20,"16,526",youtube.com/watch?v=eAagtcAup0o
160,Galaxy Z Fold 2 Review: Folding King... But For What?,"2,761,625 views","Sep 12, 2020","99,126 likes",0:20,"8,609",youtube.com/watch?v=G4E2bbAgjXg
161,"Surface Duo Review: The Good, The Bad & The Ugly!","2,811,333 views","Sep 10, 2020","100,985 likes",0:20,"7,994",youtube.com/watch?v=0fB2cQFp008
162,Moto RAZR 2 Impressions: Nostalgia Reloaded?,"2,556,199 views","Sep 9, 2020","98,054 likes",0:20,"5,507",youtube.com/watch?v=qDSaOwBHwbs
163,Samsung Galaxy Z Fold 2 Unboxing: 3 Major Upgrades!,"3,468,824 views","Sep 2, 2020","137,770 likes",0:20,"9,080",youtube.com/watch?v=sy8K2VmWkDo
164,Surface Duo Unboxing & Impressions: Hinge Goals!,"3,034,100 views","Aug 26, 2020","120,941 likes",0:20,"9,544",youtube.com/watch?v=DJyxwIGdl8Y
165,Samsung Galaxy Nope 20!,"3,472,178 views","Aug 25, 2020","129,456 likes",0:20,"13,694",youtube.com/watch?v=Exk34o-MMIE
166,6K RED Komodo Impressions: The Mini Cine Camera!,"1,847,262 views","Aug 21, 2020","77,174 likes",0:20,"5,276",youtube.com/watch?v=9Hk_rvjtxKc
167,Galaxy Note 20 Ultra Review: It Better Be Good!,"4,628,463 views","Aug 18, 2020","152,728 likes",0:20,"13,509",youtube.com/watch?v=R94ntpWVelw
168,Dope Tech: The iPad Pro Killer?!,"7,634,504 views","Aug 17, 2020","255,850 likes",0:20,"13,116",youtube.com/watch?v=5NNO5Kb-PZo
169,Sony WH-1000XM4 Review: The Final Form!,"4,760,486 views","Aug 13, 2020","170,930 likes",0:20,"9,873",youtube.com/watch?v=bInJjmH31Hk
170,Dope Tech: Boston Dynamics Robot Dog!,"6,081,318 views","Aug 10, 2020","238,030 likes",0:20,"15,917",youtube.com/watch?v=s6_azdBnAlU
171,The Last Intel Mac VS The Osborne Effect!,"1,706,072 views","Aug 6, 2020","67,698 likes",0:20,"4,247",youtube.com/watch?v=6kAvCSMkYEI
172,Samsung Galaxy Note 20 Ultra Impressions: Ultra Premium!,"3,587,675 views","Aug 5, 2020","135,315 likes",0:20,"16,038",youtube.com/watch?v=mRvBCXMSrBE
